artist_name,title,year,duration
!!!,Myth Takes,2007,143.98649
1. Futurologischer Congress,Machinenfunk,1982,204.93016
2 Minutos,14 Botellas,1994,52.32281
2 Minutos,Como Caramelo De Limón,1994,129.48853
2 Minutos,Vos No Confiaste,1994,179.09506
2 Minutos,1987,1997,64.39138
2 Minutos,Cancion De Amor,1999,124.39465
2 Minutos,Tema De Adrian,2003,178.72934
2 Minutos,2 Minutos,2006,83.12118
2 Minutos,Rompan Todo,2006,88.58077
2-4 Grooves feat. Reki D.,Relax,2009,203.83302
22-20s,Hold On,2004,317.46567
23rd Turnoff,Michaelangelo,2001,143.80363
2raumwohnung,Lachen und weinen,2001,335.17669
2raumwohnung,Mädchen mit Plan,2002,272.95302
2raumwohnung,Ja (Hanno's Poppersmonstermix),2007,357.85098
2raumwohnung,Rette Mich Später (Michael Ilbert Radio Mix),2010,234.34404
3 Doors Down,Be Like That,1999,278.64771
3 Doors Down,Duck And Run,1999,278.90893
3 Doors Down,Sarah Yellin',2002,208.97914
3 Doors Down,Here Without You,2002,232.07138
3 Doors Down,It's Not Me,2003,230.42567
3 Doors Down,Better Life,2007,203.2322
3 Doors Down,Who Are You,2008,188.65587
3 Steps Ahead,My Mind Is Gone,1997,45.50485
3 of Hearts,Is It Love,2001,224.07791
30 Seconds To Mars,The Mission,2002,245.02812
30 Seconds To Mars,End Of The Beginning,2002,277.28934
30 Seconds To Mars,Year Zero,2002,472.39791
30 Seconds To Mars,Hunter,2005,234.73587
30 Seconds To Mars,Night of the Hunter (Static Revenger Remix),2009,297.53424
32 Leaves,Way Beyond,2009,233.66485
3OH!3,CHOKECHAIN (Amended Album Version),2008,211.66975
40 Grit,Intro,2003,75.67628
40 Grit,A Part Of Me,2003,250.67057
45 Grave,Surf Bat (Album Version),1983,118.38649
45 Grave,Consumers (Album Version),1989,130.66404
45 Grave,Party Time,1989,163.26485
4Him,Wings,1994,241.97179
4Him,You Are Holy,1995,296.98567
4Him,Strange Way To Save The World,2000,270.28853
5 Blind Boys Of Alabama,If You Don't Pray For Me,1996,173.71383
50 Cent,U Not Like Me,2002,255.63383
50 Cent,In Da House Skit,2007,27.68934
50 Cent / Mobb Deep,Outta Control,2005,247.77098
5th Ward Boyz,Studio Gangster,1993,245.99465
5th Ward Boyz,Undercover Gangstas,1993,246.07302
5th Ward Boyz,Ho Shit (Chopped&Screwed),1993,261.11955
5th Ward Boyz,Ghetto Curse Words (Chopped&Screwed),1994,120.81587
8Ball & MJG,Pimpin' Don't Fail Me Now [Featuring Jazze Pha and Juvenile] (Explicit Album Version),2007,236.93016
99 Posse,Rafaniello,1992,351.34649
99 Posse,Salario Garantito (Versione Strumentale),1992,369.26649
A Different Breed of Killer,The Cleansing Apparatus,2008,187.24526
A Perfect Murder,Within (Album Version),2007,202.23955
A Perfect Murder,In Hell (Album Version),2007,229.79873
A Skylit Drive,Ability To Create A War,2007,88.86812
A Static Lullaby,God Bless You (Goddamn it),2005,237.42649
A Static Lullaby,Rattlesnake!,2008,213.49832
A Tribe Called Quest,Scenario,1991,251.14077
A Tribe Called Quest,Get A Hold,1996,215.27465
A Tribe Called Quest,Like It Like That,1998,166.86975
A Tundra,The Doug McComb Over,2010,271.3073
A-Mei,Intro,2008,71.88853
A.Z.,We Can't Win (Explicit),1995,203.10159
A.Z.,Sosa (Explicit),1998,125.41342
AFI,Summer Shudder,2006,187.03628
AFI,Affliction,2006,328.72444
AFI,Too Shy To Scream,2009,176.61342
AFI,Darling_ I Want To Destroy You,2009,223.29424
ARRESTED DEVELOPMENT,Raining Revolution (Live) (Unplugged),1993,273.84118
ARRESTED DEVELOPMENT,Natural (2002 Digital Remaster),2002,270.36689
ARRESTED DEVELOPMENT,Since The Last Time,2006,218.06975
ATB,Marrakech,2004,262.21669
ATB,Collides With Beauty,2004,349.04771
ATB,Believe In Me (Clubb Mix),2005,479.76444
AZ,Aziatic (Outro),2002,60.21179
Aaron Watson,Thats What I Like About a Country Song,2008,170.84036
Aaron Watson,Whiskey on the Fire,2008,171.10159
Aaron Watson,Rollercoaster Ride,2008,217.39057
Aaron Watson,Sweet Contradiction,2008,257.35791
Abijah,Children Of Love,2003,204.77342
Abijah,The Rock,2003,283.68934
Abraham Laboriel,Exchange,1995,368.16934
Abraham Laboriel,Guidum,1995,423.26159
Abysmal Dawn,Compulsory Resurrection,2008,250.3571
Abysmal Dawn,Programmed to Consume,2008,261.43302
Ace Frehley,Fractured Quantum,2009,379.32363
Aceyalone,Suicide,2007,170.1873
Adalberto Santiago,Tu Me Desesperas,1977,299.93751
Adam Ant,Goody Two Shoes,1982,202.97098
Adam Ant,Friend Or Foe,1982,203.91138
Adam Ant,Something Girls,1982,233.40363
Adam Ant,Mohair Locker Room Pin-Up Boys,1998,226.5073
Adam Richman,From The Pain,2005,344.94649
Adrenalin O.D.,Anarchy in the UK (Sex Pistols) (Bonus Track),1986,142.65424
Adrienne Pierce,Laundry & Dishes,2008,269.63546
Aeoliah,For Your Passion My Love,2007,307.09506
Aerosmith,Same Old Song And Dance,1974,357.53751
