artist_name,year,songs_count
!!!,2007,1
1. Futurologischer Congress,1982,1
2 Minutos,1994,3
2 Minutos,1997,1
2 Minutos,1999,1
2 Minutos,2003,1
2 Minutos,2006,2
2-4 Grooves feat. Reki D.,2009,1
22-20s,2004,1
23rd Turnoff,2001,1
2raumwohnung,2001,1
2raumwohnung,2002,1
2raumwohnung,2007,1
2raumwohnung,2010,1
3 Doors Down,1999,2
3 Doors Down,2002,2
3 Doors Down,2003,1
3 Doors Down,2007,1
3 Doors Down,2008,1
3 Steps Ahead,1997,1
3 of Hearts,2001,1
30 Seconds To Mars,2002,3
30 Seconds To Mars,2005,1
30 Seconds To Mars,2009,1
32 Leaves,2009,1
3OH!3,2008,1
40 Grit,2003,2
45 Grave,1983,1
45 Grave,1989,2
4Him,1994,1
4Him,1995,1
4Him,2000,1
5 Blind Boys Of Alabama,1996,1
50 Cent,2002,1
50 Cent,2007,1
50 Cent / Mobb Deep,2005,1
5th Ward Boyz,1993,3
5th Ward Boyz,1994,1
8Ball & MJG,2007,1
99 Posse,1992,2
A Different Breed of Killer,2008,1
A Perfect Murder,2007,2
A Skylit Drive,2007,1
A Static Lullaby,2005,1
A Static Lullaby,2008,1
A Tribe Called Quest,1991,1
A Tribe Called Quest,1996,1
A Tribe Called Quest,1998,1
A Tundra,2010,1
A-Mei,2008,1
A.Z.,1995,1
A.Z.,1998,1
AFI,2006,2
AFI,2009,2
ARRESTED DEVELOPMENT,1993,1
ARRESTED DEVELOPMENT,2002,1
ARRESTED DEVELOPMENT,2006,1
ATB,2004,2
ATB,2005,1
AZ,2002,1
Aaron Watson,2008,4
Abijah,2003,2
Abraham Laboriel,1995,2
Abysmal Dawn,2008,2
Ace Frehley,2009,1
Aceyalone,2007,1
Adalberto Santiago,1977,1
Adam Ant,1982,3
Adam Ant,1998,1
Adam Richman,2005,1
Adrenalin O.D.,1986,1
Adrienne Pierce,2008,1
Aeoliah,2007,1
Aerosmith,1974,2
Aerosmith,1979,1
Aerosmith,1987,1
Aerosmith,1988,1
Aerosmith,1989,1
Aerosmith,1991,1
Aerosmith,1993,4
Aesop Rock,2001,2
Aesop Rock,2002,1
Aesop Rock,2003,2
Africando,2003,1
Africando All Stars,2003,1
Afrob feat. Sarah,2009,1
Agnostic Front,1992,1
Agnostic Front,1999,2
Agnostic Front,2001,1
Agnostic Front,2002,1
Agnostic Front,2004,1
Agnostic Front,2007,1
Ai Ai Ai,1994,1
Aiden,2007,2
Aiden,2009,2
Airto Moreira,2003,1
Aisha Duo,2005,2
Akon,2004,1
Akon,2006,1
Akon,2008,1
Al Denson,1999,1
Al Di Meola,1980,2
Al Di Meola,1983,1
Al DiMeola,1982,1
Al DiMeola,1992,1
Alan Silvestri,1990,1
Alan Silvestri,2006,1
Alan Silvestri,2009,1
Albert Ayler,1969,1
Albert Collins,1993,1
Albert King,1968,1
Alberto Cortez,1989,1
Alceu Valença,1992,1
Alceu Valença,1997,1
Alceu Valença,1998,1
Alejandro Lerner,1984,2
Alejandro Lerner,1998,1
Alex Gopher,2007,1
Alex Ubago,2003,1
Alex Ubago,2009,2
Alexander O'Neal,2008,4
Alexandre Desplat,2004,1
Alexandre Desplat,2005,1
Alexandre Desplat,2006,1
Alexandre Desplat,2008,1
Alexandre Desplat,2009,2
Alexandre Desplat,2010,1
Alexis HK,2004,1
Alexis HK,2009,2
Alexisonfire,2005,1
Alice Cooper,1971,2
Alice Cooper,1982,2
Alice Cooper,2003,1
Alice In Chains,1990,1
Alice In Chains,1992,5
Alice In Chains,2009,2
Alicia Keys,2003,3
Alicia Keys,2005,1
Alicia Keys,2009,1
All Girl Summer Fun Band,2008,2
All Shall Persih,2006,1
All Time Low,2007,1
All Time Low,2008,1
Alphonse Mouzon,1977,1
Alternative TV,1978,1
Alternative TV,1981,1
Alternative TV,1994,1
Alvin Youngblood Hart,1998,1
Alvino Rey And His Orchestra,2005,2
Amil,2000,2
Amoral,2001,1
Amoral,2004,1
Amoral,2009,1
Amorphis,1992,1
Amorphis,1994,1
Amorphis,1997,1
Amorphis,2001,1
Amy Winehouse,2003,2
Amy Winehouse,2007,1
Ana Popovic,2007,2
Ancient Astronauts,2009,1
Andreas Dorau,1994,1
Andreas Dorau,1997,2
Andreas Dorau,2005,1
Andrew W.K.,2003,1
Andrew W.K.,2006,2
André Minvielle,2007,1
André Verchuren,1989,2
André Verchuren,2001,1
Andy & Lucas,2003,1
Andy & Lucas,2005,1
Andy & Lucas,2008,2
Angelo Badalamenti,1987,1
Angelo Badalamenti,2001,1
Angélica María,1997,1
Ann Hampton Callaway,2005,1
Ann Lee,2000,1
Anna Abreu,2007,1
Anne Dudley,2000,2
Anne Dudley,2006,2
Annie Blanchard,2007,2
Annie Lennox,1992,1
Annie Lennox,1995,1
Annie Lennox,2003,1
Anthony Blea Y Su Charanga,2004,1
Anthony Cruz,2005,1
Anti-Flag,1998,1
Anti-Flag,1999,1
Anti-Flag,2001,1
Anti-Flag,2003,2
Anti-Flag,2008,1
Anti-Flag,2009,2
Antigone Rising,2005,1
Apache Indian,1993,1
Aphasia,2001,3
April Wine,1979,2
April Wine,1981,1
Arc Angels,1992,2
Archie Bell and The Drells,2004,1
Architecture In Helsinki,2005,1
Architecture In Helsinki,2007,1
Arctic Monkeys,2004,3
Arne Weise,2002,1
Arsonists Get All The Girls,2009,2
Art Ensemble Of Chicago,2004,2
Arthur Brown,1968,2
Arthur Tracy,1993,3
Arturo Sandoval,1995,1
Arturo Sandoval,1997,2
Arturo Sandoval,2003,1
Ashton Shepherd,2008,2
Ashtrax,2002,1
Asleep At The Wheel,1988,1
Asleep At The Wheel,2002,1
Asleep At The Wheel,2007,1
Astarte,1998,2
Astarte,2000,1
Astarte,2002,1
Aswad,1981,1
At All Cost,2007,1
At The Gates,1991,1
Atari Teenage Riot,1997,1
Atari Teenage Riot,1999,1
Atari Teenage Riot,2000,1
Atman,1997,2
Atman,1998,1
Atman,2002,1
Atman,2005,1
Atman,2007,1
Atomic Rooster,1971,1
Atomic Rooster,1972,3
Atomic Rooster,2005,2
Atomship,2004,1
Atreyu,2004,4
Atreyu,2009,1
Audio Adrenaline,1992,1
Audio Adrenaline,1997,1
Auf Der Maur,2004,1
Autumnblaze,1999,1
Autumnblaze,2009,1
Avril,2000,1
Avril - Remix By Ana Rago,2002,1
Avril Lavigne,2001,1
Avril Lavigne,2004,1
Avril Lavigne,2007,1
Axe,1983,1
Aynsley Lister,2009,1
Ayo,2006,8
Azis,2006,1
B.B. King,1956,1
B.B. King,2002,1
B.B.King,1956,1
B.o.B,2010,1
BB King,1995,1
BLEED THE SKY,2008,1
BMX Bandits,2007,1
BT,2000,1
BT,2004,1
BT,2005,2
BT,2006,1
BT feat. JES,2010,1
Babe Ruth,1975,1
Baby Bash / Grimm,2003,1
Baby Huey & The Baby Sitters,1971,1
Babylon Disco,2005,1
Babylon Disco,2007,2
Bacilos,2004,1
Back Door Slam,2007,2
Backstreet Boys,1999,1
Backstreet Boys,2000,2
Backstreet Boys,2009,1
Bad Azz,1998,1
Bad Azz,2003,1
Bad Brains,1983,3
Bad Brains,1995,1
Bad Brains,1996,1
Bad Company,1974,2
Bad Company,1975,1
Bad Company,1976,1
Bad Company,1979,2
Bad Company,1986,1
Bad Religion,1982,1
Bad Religion,1992,1
Bad Religion,1994,1
Bad Religion,1995,1
Bad Religion,2002,3
Badmarsh & Shri,1997,1
Badmarsh & Shri,2001,1
