title,artist_name,year,duration
Deep Sea Creature,Mastodon,2001,280.21506
No Quieras Marcharte,Los Chichos,1984,191.68608
Ad Te Clamamus Exsvles Mortva Liberi,Enthroned,2010,89.15546
Murder One,Bone Thugs-N-Harmony,2000,255.73832
Segredo,João Gilberto,2000,197.19791
Theresa,Portable,2003,362.60526
No Survivors,Speedball,1998,212.21832
Her Golden Robe In Silence Veiled,Autumnblaze,1999,286.24934
Same Old Song,Kris Kristofferson,1974,194.37669
The Ride (Album),Cinder,2006,218.61832
Church Hangover,George Lopez,2006,270.68036
I Got Stripes (Live),Johnny Cash,2006,112.95302
Post-Toxic Finger Disorder,Tim Exile,2006,80.3522
What Would You Do,Walter Jackson,2006,156.682
Intro,Bizzy Bone Presents,2004,50.9122
Ignis,Floor,2009,144.92689
Bo Diddley,The Animals_ Sonny Boy Williamson,1973,463.49016
I'm Not Done,Fever Ray,2009,280.24118
Big Business,Dilated Peoples,2004,149.91628
Shadow,Warren Barfield,2006,207.51628
A Hard Road,John And The Bluesbreakers Mayall,1967,304.8224
San Xuan,Hevia,2003,261.32853
Le Zoo De Vincennes,Benabar,2003,238.44526
Crimson And Clover,Tommy James & The Shondells,1969,324.70159
Faithful and True (Collectors Version),Z.Z. Hill,1971,333.322
Outro Duction,Marcus Miller,2005,52.00934
He Put The Hurt On Me,Tina Britt,2006,177.94567
I Will Always Love You,Deborah Allen,2005,189.57016
My Greatest Desire,Faye Adams,1961,144.1171
The Flame,Chimaira,2007,323.18649
Get On Top (Album Version),Red Hot Chili Peppers,1999,198.05995
Upon The Shores [Explicit],Trivium,2008,321.17506
Mumbo Jumbo (jazz),Chris Standring,2006,257.59302
First Blood,Jerry Goldsmith,1985,281.28608
Moon Going Down,Charley Patton,1930,196.62322
Hero In A Dream,Ensiferum,1999,218.61832
Raising Children,The Race,2006,225.17506
Epilog,Neviss,2003,53.39383
Ice Cream Man,Martin Sexton,2001,352.88771
Why Do All Girls Think They're Fat (Album),Reel Big Fish,2007,153.67791
O Hiroteros Ehthros Mou,Peggy Zina,2009,200.38485
Midnight In Memphis,J.J. Cale,1997,263.94077
Spark,Souls Of Mischief,2002,220.96934
Destroy Babylon,Bad Brains,1983,85.26322
Don't Leave,Everyday Sunday,2002,269.73995
Travel Song (Reprise),Dora The Explorer,2008,68.98893
Don't Go Knockin' On My Door,Britney Spears,2000,223.52934
Sacrifice for the Slaughtergod,Skeletonwitch,2007,173.37424
Pass Through My Will,John Michael Talbot,1989,113.78893
Full Of Voices,Maximilian Hecker,2005,205.7922
Fool For Your Loving,Whitesnake,1980,250.3571
Lunes Por La Madrugada,Los Abuelos De La Nada,1984,194.01098
Error,Babylon Disco,2007,208.90077
Wave,Dave Eggar,2002,225.04444
Seuraavassa elämässä,Kaija Koo,1995,227.36934
Bed Crumbs,Fudge Tunnel,1991,124.94322
What'd I Say,Donnie Brooks,2001,174.34077
My Life Would Suck Without You,Kelly Clarkson,2009,230.63465
Falling Bombs,BigElf,2003,298.13506
Whatever's Cool With Me (LP Version),Dinosaur Jr.,1991,271.12444
Creeper Kamikaze,The Exies,2003,201.87383
Ja (Hanno's Poppersmonstermix),2raumwohnung,2007,357.85098
No More Blues (Chega de Saudade),Eliane Elias,1992,326.42567
Revelations,Jesse Malin and The St. Marks Social,2007,243.722
Journey To Love,Stanley Clarke,1975,282.69669
I Want It,Zombie Girl,2006,260.54485
Ma Rainey's Black Bottom,Ma Rainey,1927,188.94322
The Majesty Of Rock,Spinal Tap,1992,235.41506
Strange Thing,Buzzcocks,1980,219.19302
It's Not Me,3 Doors Down,2003,230.42567
Fausse monnaie,Gus Viseur,2000,180.00934
56 Days,Pride Tiger,2007,229.22404
Daughter Of Zion,Winston Reedy,1997,235.78077
Come To Find Out,John Hammond,2005,247.32689
Victim Of Circumstance,Ten Years After,1989,248.78975
Bubblegum,Helen Love,1997,145.78893
French Touch,Richard Galliano,1999,201.09016
Sosa (Explicit),A.Z.,1998,125.41342
Señora (bonus track),Francisco Céspedes,1998,204.53832
Yippiyo-Ay,The Presets,2008,271.85587
Talk About Us,Jennifer Lopez,1999,275.69587
Bury Your Head,Saosin,2005,212.29669
Closed Eyes,Bury Your Dead,2009,290.63791
Le gardien de musée,Les Blaireaux,2007,297.76934
Doble Bombo,Las Ketchup,2006,171.80689
Damien,DMX,1998,222.09261
A Legend In My Time,Don Gibson,1987,152.58077
The President's Speech,James Horner,1998,269.7922
Sencillamente,Bersuit Vergarabat,2005,307.35628
Still In Love,Nick Cave & The Bad Seeds,2003,283.74159
Poppin' Them Thangs,G-Unit,2003,242.52036
Trong Com,Kitaro,1993,43.51955
Old Broom,Wailing Souls,1981,204.85179
Subterranean Homesick Alien,Radiohead,1997,267.20608
Tell Me Why,Dave Hollister,2006,305.34485
Honey I Sugar Pie,Tanto Metro & Devonte,2003,207.33342
Stand By Your Man,Tammy Wynette,1968,159.60771
El Arte De Amar,Gabinete Caligari,1989,304.32608
Acension Final Chord Rising,Terry Riley,2002,142.41914
Phylyps Trak II/II,Basic Channel,1994,793.62567
Pinini Reggae,SUMO,1989,215.11791
Ye That Tempteth_ Ye That Bequeth,Enslavement Of Beauty,2001,239.90812
Slip Out The Back (Album Version),Fort Minor (Featuring Mr. Hahn),2005,236.66893
Answer In The Question,MxPx,2000,129.88036
Banana Man,C.J. Chenier,1992,189.33506
Chocolate,Snow Patrol,2003,181.57669
You Are God (Broken Album Version),Darwin Hobbs,2003,352.86159
Humppa,Elakelaiset,1996,182.83057
Hey Joe,The Creation,1967,250.27873
Fall Away Into Darkness,The Balustrade Ensemble,2007,285.3873
Neon Rainbow,The Box Tops,1967,177.3971
Risen From Within,Astarte,2000,173.81832
Empty Arms,Stevie Ray Vaughan And Double Trouble,1996,184.2673
Blues,Terry Callier,2001,180.50567
Hel Vete,Finntroll,2004,255.00689
Guardian Angel,Novaspace,2002,231.54893
If I Run,Semisonic,1993,258.92526
Between Eunice & Opelousas,Steve Riley & The Mamou Playboys,1995,182.22975
Monarchy Now,Falco,1992,252.96934
Shake Some Action,Cracker,1995,263.8624
El Mes Alt,Sapo,2003,219.74159
I Love You More Than You'll Ever Know (LP Version),Donny Hathaway,1990,322.87302
FRIENDS IN FALL RIVER  (LP Version),Silverstein,2006,181.81179
Exaltation,Matisyahu,2004,417.67138
Punchdrunk,Béla Fleck,1982,158.98077
Brother,Alice In Chains,1992,267.36281
Two Tickets To Paradise,Eddie Money,1977,189.30893
Rockin' Every Night (Live),Gary Moore,2005,198.79138
Walk Away,Christina Aguilera,2002,347.84608
Forever Consumed Oblivion,Goatwhore,2006,225.64526
Mais La Vie,Maurane / Lara Fabian,2003,198.86975
Doggin' Around,Rita Chiarelli,2004,237.7922
Enero en la playa (Edit),Facto Delafe y las flores azules,2005,158.45832
A Costa De Galicia,Carlos Nuñez,2002,237.87057
Welcome 2 Detroit,Trick Trick / Eminem,2005,285.49179
HISTORY,Michael Jackson,1995,249.99138
Sarah Yellin',3 Doors Down,2002,208.97914
Killing,The Rapture,2003,218.22649
Bullet Frenzy,Elliot Goldenthal,2003,617.82159
Before The Æons Came,Behemoth,2004,178.33751
Machine Gun Majesty [Live] (Album Version),Soilwork,2000,323.21261
Red Orange Yellow,Photo Atlas,2007,189.75302
Alimony,Shaggy,1994,232.30649
Smooth Operator,Sade,1983,298.89261
Half The Fun,Snow Patrol,2004,174.602
On The Brink,Dinosaur Jr,1994,194.40281
Damit Du Dich in mich verliebst,Lara,2009,192.46975
Drive By Music,Outerspace,2006,200.9073
Ruby D.,Les Sexareenos,2001,98.89914
WristStraining Order,Defect & Quixotic,2008,267.75465
